Code,Location,District,Registered,Envelopes,Valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
554481, Cheb, Obec: Cheb,750,364,364,39,1,28,28,32,9,6,4,0,0,45,0,14,105,1,9,3,0,3,34,0
554481, Cheb, Obec: Cheb,706,426,426,24,1,30,28,56,5,2,3,0,0,40,0,6,154,0,14,0,2,0,54,1
554481, Cheb, Obec: Cheb,765,443,443,25,3,63,37,46,4,2,3,0,0,29,1,3,155,3,9,3,0,0,54,1
554481, Cheb, Obec: Cheb,438,213,213,24,1,13,19,15,3,1,2,1,2,17,0,7,81,1,0,0,1,1,23,1
554481, Cheb, Obec: Cheb,208,106,106,5,1,5,0,16,1,0,1,0,0,6,0,4,42,0,0,1,0,2,21,0
554481, Cheb, Obec: Cheb,240,149,149,1,2,12,14,11,0,0,0,0,0,16,0,0,77,0,2,0,0,0,13,1
554481, Cheb, Obec: Cheb,790,427,427,28,0,31,33,45,3,2,5,0,0,32,0,2,169,1,11,1,0,2,59,2
554481, Cheb, Obec: Cheb,684,399,399,27,2,42,28,54,3,3,2,1,0,31,0,7,148,1,10,3,1,0,34,0
554481, Cheb, Obec: Cheb,838,538,536,53,5,32,56,48,7,2,4,0,1,48,0,27,175,0,21,1,2,3,49,1
554481, Cheb, Obec: Cheb,139,68,68,3,0,3,2,12,1,0,0,0,0,4,2,1,21,0,0,0,0,0,18,1
554481, Cheb, Obec: Cheb,543,353,353,24,1,19,37,39,1,0,4,0,1,25,0,11,139,2,7,0,0,3,38,0
554481, Cheb, Obec: Cheb,1 049,564,564,24,3,31,44,63,4,5,2,1,2,35,0,21,211,1,15,4,1,3,90,1
554481, Cheb, Obec: Cheb,166,106,106,7,1,1,6,11,3,0,1,0,0,6,0,1,59,0,0,0,0,0,9,0
554481, Cheb, Obec: Cheb,920,491,491,15,1,46,27,72,5,3,4,8,0,33,0,6,182,1,7,8,0,1,67,1
554481, Cheb, Obec: Cheb,166,106,106,7,1,1,6,11,3,0,1,0,0,6,0,1,59,0,0,0,0,0,9,0
554481, Cheb, Obec: Cheb,920,491,491,15,1,46,27,72,5,3,4,8,0,33,0,6,182,1,7,8,0,1,67,1
538795, Cheb, Obec: Krásná,264,"55,70",262,5,0,11,14,20,6,2,1,2,4,20,0,7,138,0,1,1,0,0,30,0
554596, Cheb, Obec: Křižovatka,118,"56,19",118,3,1,17,9,19,0,2,0,0,0,2,0,1,55,0,2,0,0,0,7,0
554600, Cheb, Obec: Lázně Kynžvart,613,"49,92",608,49,5,46,19,71,9,3,4,0,0,81,0,13,210,2,14,1,1,1,77,2
554618, Cheb, Obec: Libá,301,"50,84",297,27,2,22,16,28,0,2,2,1,2,39,0,2,112,2,2,0,0,0,37,1
554626, Cheb, Obec: Lipová,299,"51,02",297,22,2,15,18,23,3,1,8,0,1,22,1,10,115,1,4,1,0,4,45,1
554634, Cheb, Obec: Luby,635,295,295,16,0,34,14,16,2,6,0,6,1,30,1,7,123,0,11,1,2,0,21,0
554634, Cheb, Obec: Luby,1 174,557,557,33,2,44,20,47,8,9,4,4,0,39,1,11,223,2,23,0,1,2,77,2
554642, Cheb, Obec: Mariánské Lázně,613,403,403,54,3,16,17,19,3,6,4,0,0,78,0,15,146,0,14,3,0,0,24,0
554642, Cheb, Obec: Mariánské Lázně,633,374,372,39,1,28,9,16,2,2,3,1,0,67,0,24,128,0,19,3,0,0,28,0
554642, Cheb, Obec: Mariánské Lázně,32,26,26,6,0,1,0,2,0,0,2,0,0,2,0,0,9,0,1,0,0,0,2,0
554642, Cheb, Obec: Mariánské Lázně,539,307,305,45,3,15,13,11,2,0,0,0,2,57,1,20,99,0,8,1,0,0,25,2
554642, Cheb, Obec: Mariánské Lázně,850,216,216,28,2,11,5,16,5,1,2,0,0,21,0,18,64,0,12,2,0,0,28,0
554642, Cheb, Obec: Mariánské Lázně,497,261,261,34,2,17,8,17,2,0,4,0,1,59,0,12,63,0,7,0,0,0,32,1
554642, Cheb, Obec: Mariánské Lázně,619,327,327,43,2,20,15,17,7,2,2,0,3,62,0,33,80,0,11,1,0,0,27,0
554642, Cheb, Obec: Mariánské Lázně,601,352,352,51,4,31,9,22,2,1,6,0,0,67,1,17,90,2,14,2,0,0,30,0
554642, Cheb, Obec: Mariánské Lázně,714,403,401,64,1,21,23,27,5,7,8,1,0,67,0,9,105,0,10,4,2,0,47,0
554642, Cheb, Obec: Mariánské Lázně,812,403,403,41,2,21,11,23,5,2,4,2,0,82,0,13,120,1,16,2,0,1,51,1
554642, Cheb, Obec: Mariánské Lázně,703,430,429,48,1,24,6,28,6,5,5,0,0,82,1,20,155,1,11,2,0,0,30,1
554642, Cheb, Obec: Mariánské Lázně,544,295,295,13,0,31,10,22,3,0,3,0,0,55,0,7,112,0,4,2,0,1,30,0
554642, Cheb, Obec: Mariánské Lázně,709,369,369,25,1,35,8,25,3,0,7,0,0,85,1,13,108,1,4,2,1,2,44,0
554642, Cheb, Obec: Mariánské Lázně,624,359,358,55,2,16,13,29,3,1,5,1,0,64,1,13,95,2,22,1,0,0,32,2
554642, Cheb, Obec: Mariánské Lázně,777,460,460,64,0,26,15,41,5,0,5,0,1,71,1,25,130,0,18,2,1,1,48,4
554642, Cheb, Obec: Mariánské Lázně,736,396,396,43,2,30,5,38,3,1,2,0,0,62,0,12,132,3,16,2,1,1,39,1
554642, Cheb, Obec: Mariánské Lázně,569,339,339,33,0,26,10,38,2,2,3,0,1,65,2,4,105,1,11,8,1,0,21,2
554642, Cheb, Obec: Mariánské Lázně,736,396,396,43,2,30,5,38,3,1,2,0,0,62,0,12,132,3,16,2,1,1,39,1
554642, Cheb, Obec: Mariánské Lázně,569,339,339,33,0,26,10,38,2,2,3,0,1,65,2,4,105,1,11,8,1,0,21,2
554651, Cheb, Obec: Milhostov,82,"33,61",82,2,0,8,4,4,0,0,0,0,0,3,0,0,54,0,0,1,1,0,5,0
538906, Cheb, Obec: Milíkov,141,"63,23",141,17,1,7,14,14,2,1,5,0,0,15,0,1,35,1,6,0,0,2,19,1
554677, Cheb, Obec: Mnichov,137,"40,90",135,4,0,5,4,25,0,7,1,0,1,23,0,3,33,1,8,2,0,0,17,1
554693, Cheb, Obec: Nebanice,162,"58,27",159,6,0,12,19,28,2,4,4,0,0,7,0,4,50,1,1,0,1,0,20,0
554707, Cheb, Obec: Nový Kostel,221,"53,90",221,8,0,38,2,15,2,2,0,1,0,12,0,7,80,0,17,0,0,1,28,8
539554, Cheb, Obec: Odrava,99,"53,51",99,10,1,6,11,7,3,1,2,0,0,8,0,2,34,1,0,0,0,0,12,1
538922, Cheb, Obec: Okrouhlá,108,"54,27",107,7,0,8,6,12,1,2,7,0,1,7,0,0,37,1,2,1,0,0,15,0
539473, Cheb, Obec: Ovesné Kladruby,52,"53,61",52,7,1,1,0,3,3,1,0,0,0,18,1,1,12,1,2,0,0,0,1,0
554740, Cheb, Obec: Plesná,723,"46,20",719,34,3,101,18,73,5,9,5,6,0,45,0,44,281,0,4,1,1,0,85,4
538817, Cheb, Obec: Podhradí,79,"48,17",79,8,1,2,2,7,1,0,3,0,0,3,1,1,33,1,4,0,0,0,10,2
538868, Cheb, Obec: Pomezí nad Ohří,132,"64,08",131,8,0,7,17,16,0,0,1,0,0,16,0,7,42,0,3,3,0,0,11,0
577979, Cheb, Obec: Poustka,80,"65,57",79,6,1,5,9,11,1,0,1,0,1,6,0,0,23,0,2,0,0,0,12,1
539538, Cheb, Obec: Prameny,59,"64,13",57,3,0,1,2,1,0,1,0,0,1,12,0,1,18,1,1,0,0,1,14,0
554812, Cheb, Obec: Skalná,777,"51,42",770,59,1,83,24,56,7,5,4,2,0,60,0,13,325,1,18,1,1,3,107,0
539112, Cheb, Obec: Stará Voda,196,"50,39",196,7,0,11,6,33,4,1,2,0,0,21,0,6,60,1,4,1,1,0,37,1
555631, Cheb, Obec: Teplá,699,261,261,11,2,18,8,35,1,4,0,0,2,17,0,9,86,0,12,0,0,0,51,0
555631, Cheb, Obec: Teplá,889,404,404,38,1,28,10,65,5,3,10,0,3,46,0,8,117,1,19,2,1,2,40,1
555631, Cheb, Obec: Teplá,777,393,393,31,1,34,4,70,2,1,2,0,2,39,0,5,137,2,19,2,0,1,37,1
554855, Cheb, Obec: Trstěnice,165,"54,82",165,11,0,5,11,26,1,1,0,0,0,20,0,1,60,0,2,1,0,0,25,1
539023, Cheb, Obec: Třebeň,206,"63,19",203,15,0,5,13,22,2,1,1,2,0,22,0,2,79,0,7,0,1,1,29,1
554880, Cheb, Obec: Tři Sekery,393,"52,54",384,47,2,17,4,25,0,2,4,0,0,91,0,6,129,2,14,2,1,0,38,0
539619, Cheb, Obec: Tuřany,73,"66,36",73,9,0,5,7,5,0,0,1,0,0,5,0,1,33,0,0,0,1,1,5,0
539481, Cheb, Obec: Valy,241,"62,76",240,21,2,9,11,9,1,2,2,0,0,32,0,10,100,0,8,3,0,0,29,1
539279, Cheb, Obec: Velká Hleďsebe,814,496,496,58,1,33,20,43,4,2,5,0,0,80,0,19,174,1,12,2,2,1,33,1
539279, Cheb, Obec: Velká Hleďsebe,532,271,270,47,2,18,13,8,1,0,4,0,1,38,1,11,76,0,6,4,0,1,35,0
539279, Cheb, Obec: Velká Hleďsebe,470,272,272,25,4,27,11,27,1,4,2,0,1,36,0,8,81,1,10,0,0,0,32,0
578002, Cheb, Obec: Velký Luh,67,"52,76",66,5,0,2,11,11,1,1,0,0,0,4,0,0,20,1,2,0,1,0,7,0
539376, Cheb, Obec: Vlkovice,72,"69,23",72,1,2,5,2,8,0,3,0,1,0,10,0,1,24,1,6,1,1,0,6,0
539074, Cheb, Obec: Vojtanov,102,"60,71",102,3,0,2,4,13,0,2,1,0,0,6,0,2,50,0,1,1,0,0,16,1
539431, Cheb, Obec: Zádub-Závišín,165,"60,22",164,27,0,5,9,10,0,0,2,0,0,20,0,7,49,0,13,1,0,1,20,0
554979, Karlovy Vary, Obec: Abertamy,366,"46,04",366,39,2,32,29,24,6,12,7,0,1,36,1,19,96,0,11,0,0,5,44,2
538001, Karlovy Vary, Obec: Andělská Hora,188,"69,89",188,17,0,8,6,13,2,1,0,1,0,18,0,16,70,0,2,0,0,1,30,3
554995, Karlovy Vary, Obec: Bečov nad Teplou,440,"56,48",437,32,9,21,25,35,0,4,6,1,0,35,0,12,154,0,53,4,1,2,42,1
555029, Karlovy Vary, Obec: Bochov,826,"51,69",819,70,11,83,31,94,7,9,6,0,2,57,2,33,257,1,30,2,3,2,116,3
506486, Karlovy Vary, Obec: Boží Dar,172,"74,14",169,29,1,6,20,2,3,3,2,0,1,22,1,21,40,0,4,2,2,0,8,2
555045, Karlovy Vary, Obec: Božičany,239,"50,21",237,9,0,19,18,19,1,7,1,0,2,22,0,5,89,2,3,2,2,3,33,0
500101, Karlovy Vary, Obec: Bražec,94,"44,13",91,4,0,15,2,7,0,1,1,0,0,5,1,1,22,0,2,0,0,1,25,4
537870, Karlovy Vary, Obec: Březová,266,"60,45",263,22,0,25,15,9,3,0,2,2,2,33,1,12,70,0,7,5,1,1,51,2
538019, Karlovy Vary, Obec: Černava,155,"60,08",155,19,2,5,8,14,0,0,2,0,0,5,0,1,61,1,0,0,1,1,35,0
506621, Karlovy Vary, Obec: Čichalov,72,"50,35",71,4,0,2,11,17,0,2,0,0,0,9,0,1,14,0,3,1,0,0,7,0
537918, Karlovy Vary, Obec: Dalovice,987,"62,31",983,125,3,45,67,64,15,11,7,1,1,109,4,48,323,9,16,3,3,9,117,3
538116, Karlovy Vary, Obec: Děpoltovice,211,"66,14",209,25,1,8,12,15,2,3,3,0,0,33,0,3,87,0,1,1,0,0,15,0
500127, Karlovy Vary, Obec: Doupovské Hradiště,75,"55,15",74,0,0,4,3,9,0,2,1,0,0,5,0,1,36,0,0,1,1,0,11,0
538159, Karlovy Vary, Obec: Hájek,308,"67,40",306,43,11,20,15,19,1,4,9,2,0,29,0,13,92,0,9,2,1,2,33,1
555169, Karlovy Vary, Obec: Horní Blatná,181,"58,39",180,51,4,6,14,11,1,3,0,0,0,13,0,8,33,0,3,3,1,0,29,0
551651, Karlovy Vary, Obec: Hory,127,"59,35",126,14,1,13,17,5,1,3,3,0,0,10,0,3,34,0,3,3,0,0,16,0
555185, Karlovy Vary, Obec: Hroznětín,856,"54,01",847,71,0,60,43,76,4,11,7,0,4,73,2,35,270,0,18,4,5,6,154,4
578011, Karlovy Vary, Obec: Chodov,52,"55,91",52,1,0,10,3,3,0,1,1,0,0,2,0,1,14,0,1,0,0,1,14,0
555207, Karlovy Vary, Obec: Chyše,286,"61,11",284,15,0,19,14,20,3,1,0,1,0,23,0,13,131,0,4,1,1,0,34,4
555215, Karlovy Vary, Obec: Jáchymov,636,226,225,43,5,16,6,4,4,1,3,0,0,21,0,30,57,0,15,1,0,0,17,1
555215, Karlovy Vary, Obec: Jáchymov,655,317,317,27,3,34,21,34,1,4,0,0,1,12,0,6,93,0,12,1,1,1,64,2
555215, Karlovy Vary, Obec: Jáchymov,917,562,561,52,13,61,18,44,7,4,4,0,0,39,2,28,198,3,19,4,0,3,51,3
537926, Karlovy Vary, Obec: Jenišov,451,"68,65",447,103,1,29,36,18,2,1,5,0,2,54,0,34,109,2,6,5,3,1,34,2
554961, Karlovy Vary, Obec: Karlovy Vary,2 573,486,485,61,1,18,23,18,7,4,5,1,2,89,2,38,124,1,3,0,3,0,78,0
554961, Karlovy Vary, Obec: Karlovy Vary,663,414,414,51,1,14,34,14,2,2,5,1,0,76,0,40,120,0,7,4,0,0,38,0
554961, Karlovy Vary, Obec: Karlovy Vary,311,163,163,21,0,13,5,8,4,0,4,0,0,30,0,6,48,1,3,1,1,0,17,0
554961, Karlovy Vary, Obec: Karlovy Vary,474,269,269,31,2,9,25,19,4,1,3,1,0,37,0,20,70,2,6,6,2,2,25,0
554961, Karlovy Vary, Obec: Karlovy Vary,375,197,197,25,0,6,9,9,1,2,4,0,0,34,1,9,59,0,6,1,1,1,28,0
554961, Karlovy Vary, Obec: Karlovy Vary,670,368,368,51,1,18,17,29,5,2,8,1,2,45,0,23,103,0,10,4,0,1,43,2
554961, Karlovy Vary, Obec: Karlovy Vary,344,189,189,23,4,7,9,16,0,0,1,0,1,18,0,20,60,2,6,0,0,0,18,2
554961, Karlovy Vary, Obec: Karlovy Vary,680,417,417,63,2,17,18,17,8,4,5,1,2,63,0,36,116,1,6,5,0,0,52,1
554961, Karlovy Vary, Obec: Karlovy Vary,635,347,347,54,0,26,25,16,10,0,2,0,2,49,0,22,86,0,3,4,0,0,43,2
554961, Karlovy Vary, Obec: Karlovy Vary,314,178,177,36,0,13,13,10,3,0,3,0,0,18,0,19,41,1,3,1,0,0,16,0
554961, Karlovy Vary, Obec: Karlovy Vary,559,386,386,62,1,11,33,22,6,2,9,2,1,60,0,24,104,1,6,5,1,1,32,1
554961, Karlovy Vary, Obec: Karlovy Vary,409,289,288,39,1,12,36,14,4,1,1,0,0,29,0,29,77,0,12,7,1,0,25,0
554961, Karlovy Vary, Obec: Karlovy Vary,617,411,411,44,2,33,23,16,7,4,4,0,6,52,1,18,140,0,10,1,0,2,45,0
554961, Karlovy Vary, Obec: Karlovy Vary,797,522,522,54,4,47,32,33,9,2,10,0,2,89,0,15,150,4,12,5,1,0,46,1
554961, Karlovy Vary, Obec: Karlovy Vary,796,412,412,39,0,35,27,36,5,2,10,0,0,44,0,16,136,0,15,5,1,2,33,0
554961, Karlovy Vary, Obec: Karlovy Vary,498,277,277,21,3,29,17,19,3,0,1,0,0,28,0,12,104,0,3,4,2,0,29,0
554961, Karlovy Vary, Obec: Karlovy Vary,485,300,300,39,1,14,22,12,4,0,5,0,0,46,0,36,73,0,13,3,4,1,22,0
554961, Karlovy Vary, Obec: Karlovy Vary,747,485,485,58,2,30,39,22,8,3,5,0,1,78,0,37,116,0,19,8,2,0,50,4
554961, Karlovy Vary, Obec: Karlovy Vary,595,362,362,42,0,18,29,25,6,1,10,0,0,42,1,24,94,1,7,8,2,1,46,0
554961, Karlovy Vary, Obec: Karlovy Vary,857,428,428,52,1,28,29,25,6,3,5,1,1,48,0,36,138,0,11,4,1,0,34,1
554961, Karlovy Vary, Obec: Karlovy Vary,892,490,490,63,3,28,33,29,7,4,7,1,1,58,0,20,156,1,8,3,0,1,64,0
554961, Karlovy Vary, Obec: Karlovy Vary,1 009,596,596,38,2,69,42,44,8,7,8,1,2,52,0,23,219,0,14,1,3,0,57,3
554961, Karlovy Vary, Obec: Karlovy Vary,732,436,436,44,4,30,22,18,4,1,7,0,1,51,0,29,161,1,12,4,0,0,43,2
554961, Karlovy Vary, Obec: Karlovy Vary,746,513,513,65,2,40,42,28,3,2,4,6,1,41,0,31,190,0,14,6,2,0,34,1
554961, Karlovy Vary, Obec: Karlovy Vary,733,417,417,37,3,30,25,28,3,2,2,0,3,52,0,8,174,2,3,0,2,0,38,0
554961, Karlovy Vary, Obec: Karlovy Vary,835,529,529,48,9,27,41,33,7,7,2,0,1,72,0,18,184,0,18,9,1,0,50,0
554961, Karlovy Vary, Obec: Karlovy Vary,518,326,326,39,2,20,18,18,2,4,0,0,1,33,1,26,109,0,5,1,2,2,40,0
554961, Karlovy Vary, Obec: Karlovy Vary,678,305,305,29,1,13,14,12,4,4,5,0,0,26,2,23,110,2,6,9,1,2,39,1
554961, Karlovy Vary, Obec: Karlovy Vary,843,498,498,81,0,22,37,36,6,6,4,0,0,56,0,21,148,1,15,4,0,2,55,0
554961, Karlovy Vary, Obec: Karlovy Vary,1 017,600,600,50,1,53,42,44,6,5,8,0,4,72,0,23,191,1,17,3,5,0,68,4
554961, Karlovy Vary, Obec: Karlovy Vary,995,546,546,42,2,53,33,51,3,6,2,0,4,67,1,25,174,1,11,5,2,1,60,2
554961, Karlovy Vary, Obec: Karlovy Vary,1 104,693,692,67,4,47,30,43,10,4,4,0,4,59,2,38,239,3,21,6,0,1,102,0
554961, Karlovy Vary, Obec: Karlovy Vary,679,423,423,43,1,21,35,32,3,2,3,1,2,51,1,24,130,0,12,3,1,1,51,4
554961, Karlovy Vary, Obec: Karlovy Vary,544,252,251,12,2,18,10,15,5,3,1,0,2,35,0,11,73,1,9,4,1,0,48,1
554961, Karlovy Vary, Obec: Karlovy Vary,635,355,355,17,2,22,28,8,5,9,9,1,2,51,0,19,116,0,3,1,0,2,57,0
554961, Karlovy Vary, Obec: Karlovy Vary,700,419,419,35,0,36,22,33,7,3,6,0,1,41,0,25,152,1,9,4,2,0,40,0
554961, Karlovy Vary, Obec: Karlovy Vary,728,434,434,33,2,19,29,50,8,5,1,1,1,41,0,17,164,2,8,3,4,0,44,1
554961, Karlovy Vary, Obec: Karlovy Vary,645,389,389,35,1,25,16,24,3,7,1,0,2,44,0,16,160,0,6,11,1,0,36,1
554961, Karlovy Vary, Obec: Karlovy Vary,637,406,406,45,3,20,16,37,4,7,4,0,1,37,0,15,157,0,6,4,1,0,46,1
554961, Karlovy Vary, Obec: Karlovy Vary,870,496,496,62,0,16,47,29,5,1,4,0,2,62,2,22,174,0,13,3,2,3,46,1
554961, Karlovy Vary, Obec: Karlovy Vary,824,521,521,29,1,37,47,34,8,3,3,0,2,60,0,22,196,2,7,8,1,0,55,2
554961, Karlovy Vary, Obec: Karlovy Vary,1 052,622,622,68,5,32,38,51,5,5,15,0,4,71,0,33,209,0,6,8,1,0,68,1
554961, Karlovy Vary, Obec: Karlovy Vary,975,595,595,48,2,41,25,41,9,11,8,0,2,71,0,23,227,0,9,6,2,2,67,0
554961, Karlovy Vary, Obec: Karlovy Vary,856,535,535,59,1,39,38,37,5,2,6,0,5,50,1,30,185,1,12,1,0,1,61,0
554961, Karlovy Vary, Obec: Karlovy Vary,1 050,580,580,53,4,44,30,30,1,6,7,0,4,60,2,26,222,1,9,3,4,4,68,1
554961, Karlovy Vary, Obec: Karlovy Vary,903,578,578,35,0,52,40,42,6,5,6,0,2,48,0,23,228,0,13,5,3,1,60,1
554961, Karlovy Vary, Obec: Karlovy Vary,1 001,588,588,49,1,49,46,29,7,5,14,0,1,53,2,20,227,1,11,8,1,2,57,2
554961, Karlovy Vary, Obec: Karlovy Vary,1 058,645,643,68,0,48,44,42,7,2,7,0,3,69,1,30,208,0,24,4,1,0,78,2
554961, Karlovy Vary, Obec: Karlovy Vary,244,166,166,12,3,7,10,6,2,5,0,0,0,23,0,7,53,0,3,0,0,0,34,1
554961, Karlovy Vary, Obec: Karlovy Vary,708,479,479,60,1,24,43,20,5,3,9,0,0,51,0,26,160,1,10,6,2,3,45,3
554961, Karlovy Vary, Obec: Karlovy Vary,498,277,277,21,3,29,17,19,3,0,1,0,0,28,0,12,104,0,3,4,2,0,29,0
554961, Karlovy Vary, Obec: Karlovy Vary,485,300,300,39,1,14,22,12,4,0,5,0,0,46,0,36,73,0,13,3,4,1,22,0
554961, Karlovy Vary, Obec: Karlovy Vary,747,485,485,58,2,30,39,22,8,3,5,0,1,78,0,37,116,0,19,8,2,0,50,4
